state,STATEFP,median_household_income,median_monthly_income,median_gross_rent,rent_to_income_pct,income_class,rent_class,bivariate_class
Florida,12,74568,6214,1669,26.9,1,3,3-1
California,06,99122,8260,2036,24.6,3,3,3-3
Nevada,32,78260,6522,1597,24.5,2,3,3-2
Hawaii,15,100389,8366,1971,23.6,3,3,3-3
Arizona,04,79964,6664,1543,23.2,2,3,3-2
New York,36,85974,7164,1621,22.6,3,3,3-3
Colorado,08,95470,7956,1761,22.1,3,3,3-3
Oregon,41,83011,6918,1525,22.0,2,3,3-2
Georgia,13,77353,6446,1393,21.6,2,2,2-2
Texas,48,78476,6540,1403,21.5,2,2,2-2
Washington,53,98141,8178,1760,21.5,3,3,3-3
District of Columbia,11,109870,9156,1954,21.3,3,3,3-3
Louisiana,22,60756,5063,1064,21.0,1,1,1-1
Tennessee,47,69595,5800,1189,20.5,1,2,2-1
North Carolina,37,72388,6032,1228,20.4,1,2,2-1
South Carolina,45,69324,5777,1180,20.4,1,2,2-1
Virginia,51,93170,7764,1579,20.3,3,3,3-3
Massachusetts,25,103960,8663,1762,20.3,3,3,3-3
Mississippi,28,56447,4704,954,20.3,1,1,1-1
New Mexico,35,64059,5338,1067,20.0,1,1,1-1
New Jersey,34,103556,8630,1720,19.9,3,3,3-3
Delaware,10,84954,7080,1401,19.8,3,2,2-3
Maryland,24,103678,8640,1705,19.7,3,3,3-3
Idaho,16,77800,6483,1238,19.1,2,2,2-2
Alabama,01,63999,5333,1007,18.9,1,1,1-1
Utah,49,95166,7930,1496,18.9,3,3,3-3
Arkansas,05,60773,5064,947,18.7,1,1,1-1
Oklahoma,40,65039,5420,1014,18.7,1,1,1-1
Pennsylvania,42,77971,6498,1209,18.6,2,2,2-2
Connecticut,09,95781,7982,1488,18.6,3,3,3-3
Michigan,26,72875,6073,1129,18.6,1,2,2-1
Alaska,02,92788,7732,1419,18.4,3,3,3-3
Illinois,17,83390,6949,1274,18.3,2,2,2-2
Maine,23,74733,6228,1139,18.3,2,2,2-2
Rhode Island,44,87796,7316,1342,18.3,3,2,2-3
Vermont,50,81203,6767,1234,18.2,2,2,2-2
Kentucky,21,63726,5310,967,18.2,1,1,1-1
New Hampshire,33,99031,8253,1491,18.1,3,3,3-3
Montana,30,72509,6042,1081,17.9,1,2,2-1
Indiana,18,71957,5996,1062,17.7,1,1,1-1
West Virginia,54,59608,4967,872,17.6,1,1,1-1
Missouri,29,70702,5892,1033,17.5,1,1,1-1
Ohio,39,71389,5949,1034,17.4,1,1,1-1
Minnesota,27,89062,7422,1280,17.2,3,2,2-3
Kansas,20,74275,6190,1060,17.1,1,1,1-1
Wisconsin,55,77485,6457,1087,16.8,2,2,2-2
Nebraska,31,76475,6373,1072,16.8,2,1,1-2
Wyoming,56,76176,6348,992,15.6,2,1,1-2
Iowa,19,75059,6255,972,15.5,2,1,1-2
South Dakota,46,75081,6257,946,15.1,2,1,1-2
North Dakota,38,76657,6388,954,14.9,2,1,1-2
